StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-01-01,New South Wales,Mobile apps,65 and over,Male,Buying or selling,False billing,$100.00,1
2022-11-01,New South Wales,Mobile apps,65 and over,Male,Buying or selling,False billing,$615.00,1
2020-05-01,New South Wales,In person,65 and over,Male,Buying or selling,False billing,$1196.00,1
2021-08-01,New South Wales,In person,65 and over,Male,Buying or selling,False billing,$7000.00,1
2021-11-01,New South Wales,In person,65 and over,Male,Buying or selling,False billing,$600.00,1
2024-02-01,New South Wales,In person,65 and over,Male,Buying or selling,False billing,$173.99,1
2020-07-01,New South Wales,Social media/Online forums,65 and over,Male,Buying or selling,False billing,$30.00,1
2020-08-01,New South Wales,Social media/Online forums,65 and over,Male,Buying or selling,False billing,$54.00,1
2023-03-01,New South Wales,Social media/Online forums,65 and over,Male,Buying or selling,False billing,$75.00,1
2020-04-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$3.00,3
2021-03-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$2.00,10
2021-11-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$35.00,3
2022-08-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$4502.00,31
2022-09-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$8670.00,16
2022-10-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$4350.00,83
2023-01-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$1.00,32
2023-02-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$500.00,73
2023-05-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$1199.00,37
2024-01-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,$0.00,57
2021-11-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$2.00,30
2022-01-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$740.00,19
2022-10-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$54000.00,11
2020-12-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$70.00,6
2021-01-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$1.00,7
2021-03-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$82.00,12
2021-04-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$3938.00,23
2021-08-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$67.00,14
2021-09-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$4831.00,10
2021-10-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$89.00,4
2021-12-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$1968.00,2
2022-03-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$1500.00,6
2022-05-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$11553.00,3
2022-07-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$68.00,28
2022-08-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$7005.00,43
2022-09-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$7685.00,28
2022-10-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$6.00,80
2022-12-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$875.00,53
2023-02-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$1.00,84
2023-05-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,$3000.00,23
2020-07-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$490.00,1
2020-11-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$277.00,1
2021-01-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$157.00,1
2022-02-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$50.00,1
2022-11-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$322.00,1
2022-12-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$83.00,1
2023-01-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$64.00,1
2023-04-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$3010.00,1
2023-06-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$806.00,1
2023-10-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$55.00,1
2024-03-01,New South Wales,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$1.56,1
2020-01-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$1500.00,1
2020-06-01,New South Wales,Mobile apps,65 and over,Female,Buying or selling,False billing,$114.00,1
2021-01-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,$2970.00,1
2021-03-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,$199.00,1
2021-04-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,$378.00,1
2021-08-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$3000.00,1
2021-10-01,New South Wales,Mobile apps,65 and over,Female,Buying or selling,False billing,$2.00,1
2022-04-01,New South Wales,Mobile apps,65 and over,Female,Buying or selling,False billing,$1.00,1
2022-06-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,$199.00,1
2022-08-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,$249.00,1
2022-12-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$2500.00,1
2023-05-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$3575.00,1
2023-08-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$95000.00,1
2023-09-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$70.00,1
2023-11-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,$148.00,3
2023-12-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$2063.00,1
2024-03-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$2250.00,1
2024-04-01,New South Wales,In person,65 and over,Female,Buying or selling,False billing,$2000.00,1
2020-04-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$33550.00,11
2021-10-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$1024.00,17
2022-04-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$1237.00,21
2022-12-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$600.00,14
2023-06-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$300.00,18
2024-05-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$100.00,7
2020-01-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$14.00,1
2020-04-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$15.00,1
2020-05-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$360.00,2
2020-06-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$58.00,1
2020-07-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$163.00,1
2020-11-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$600.00,1
2021-01-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$1000.00,1
2021-02-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$392.00,1
2021-07-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$66.00,1
2021-09-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$400.00,1
2022-01-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$1430.00,2
2022-02-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$3064.00,1
2022-04-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$180.00,1
2023-06-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$2051.00,2
2023-11-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$9338.00,1
2024-03-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$1000.00,1
2024-05-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$890.50,2
2024-06-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$44.60,1
2020-05-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$123.00,1
2020-06-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$373.00,3
2020-11-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$132.00,1
2021-01-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$317.00,1
2021-06-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$79.00,1
2021-08-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$35.00,1
2021-10-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$1449.00,2
2021-11-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$330.00,1
2021-12-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$122.00,1
2022-01-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$2755.00,2
2022-04-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$72.00,1
2022-06-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$1600.00,2
2022-08-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$468.00,2
2023-03-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$14533.00,1
2023-07-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$1048.00,2
2023-10-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$402.00,1
2020-01-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7000.00,8
2020-03-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1145.00,1
2020-03-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7.00,1
2021-07-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9900.00,7
2021-09-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$12000.00,17
2021-10-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2225.00,4
2022-02-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4999.00,15
2022-06-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4010.00,5
2022-07-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$31000.00,19
2022-09-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$73000.00,10
2022-09-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$126000.00,4
2022-12-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$23210.00,2
2023-01-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3000.00,11
2023-02-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4890.00,4
2023-03-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$25000.00,11
2023-07-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$14500.00,12
2023-09-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$19000.00,8
2023-10-01,Northern Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$890.00,1
2023-11-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4906.00,12
2024-02-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,4
2024-05-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$16500.00,6
2020-01-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$12999.00,9
2020-02-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1600.00,3
2020-06-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$0.00,9
2020-10-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7800.00,14
2021-05-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5690.00,10
2021-06-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3805.00,28
2022-10-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$25749.00,1
2023-02-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$26321.00,7
2023-04-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$18328.00,13
2023-07-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$700.00,10
2023-10-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$15000.00,10
2023-12-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$39921.00,5
2024-02-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$6600.00,14
2020-09-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$35300.00,25
2020-12-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$700.00,35
2021-01-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,45
2021-02-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$15100.00,48
2021-04-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2700.00,38
2021-07-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9000.00,68
2022-06-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$400.00,68
2022-07-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9997.00,53
2022-08-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$28690.00,35
2022-11-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9957.00,30
2023-01-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3300.00,33
2023-02-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$11800.00,26
2023-03-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$608771.00,57
2023-04-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2500.00,30
2023-05-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$44498.00,31
2023-06-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,43
2023-07-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7200.00,44
2023-09-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$25000.00,50
2024-01-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7232.00,25
2024-02-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$16900.00,38
2024-05-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$37506.30,29
2024-06-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4682.23,16
2020-02-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1336.00,19
2021-01-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$14500.00,54
2021-03-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9872.00,81
2021-05-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1.00,54
2021-06-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7146.00,72
2021-07-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9000.00,111
2021-09-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$22219.00,121
2021-10-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1755.00,74
2021-12-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1000.00,27
2022-02-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2434.00,46
2022-04-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$18300.00,48
2022-05-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,26
2022-06-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1000.00,32
2022-07-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$96400.00,56
2022-08-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$19824.00,50
2022-10-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$13000.00,32
2022-11-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$31800.00,58
2022-12-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9000.00,20
2023-01-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2401.00,24
2023-03-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$61000.00,41
2023-04-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$6075.00,53
2023-05-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$68060.00,52
2023-07-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1479.00,55
2023-08-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$40059.00,61
2023-10-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$11495.00,42
2023-11-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$25000.00,40
2024-01-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$263300.00,38
2024-03-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3000.00,52
2024-04-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1500.00,37
2024-06-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$33658.67,28
2020-07-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$28010.00,50
2020-08-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9937.00,48
2020-09-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3819.00,74
2020-10-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$80000.00,78
2021-01-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$550.00,70
2021-03-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,95
2021-04-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$871.00,92
2021-05-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1262.00,74
2021-07-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4900.00,94
2021-08-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$29000.00,94
2021-09-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1.00,141
2021-10-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$29000.00,98
2021-12-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$7359.00,75
2022-01-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$24880.00,75
2022-02-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1030.00,82
2022-04-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$21300.00,68
2022-06-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$8739.00,100
2022-07-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$9521.00,145
2022-09-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1630.00,59
2022-12-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$23173.00,81
2023-01-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1496.00,75
2023-03-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$49200.00,109
2023-04-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$35890.00,84
2023-05-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$126776.00,87
2023-06-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$17000.00,87
2023-07-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3500.00,123
2023-10-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$400000.00,108
2023-11-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$8999.00,108
2024-05-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$11000.00,54
2024-06-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$19350.00,52
2020-08-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$1.00,23
2020-11-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$6700.00,36
2021-02-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$3432.00,43
2021-04-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$55000.00,28
2021-05-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$14900.00,44
2021-06-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$6523.00,47
2021-07-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2000.00,47
2021-08-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$10113.00,61
2021-09-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$10013.00,42
2022-01-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2467.00,25
2022-02-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$20000.00,19
2022-03-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$8000.00,29
2022-05-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$135000.00,22
2022-06-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$10895.00,41
2022-08-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$5324.00,26
2022-09-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$53855.00,35
2022-10-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$44740.00,26
2022-11-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$36800.00,53
2022-12-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$1290.00,22
2023-01-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$16400.00,28
2023-02-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$49454.00,35
2023-03-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$5000.00,27
2023-05-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$6373.00,39
2023-06-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2350.00,34
2023-07-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$50000.00,35
2023-08-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$112085.00,47
2023-09-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$35000.00,43
2023-10-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$50000.00,15
2024-01-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$30000.00,27
2024-03-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$301000.00,31
2020-07-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$12000.00,8
2020-09-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$803.00,11
2020-12-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$14838.00,18
2021-04-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2122.00,12
2021-05-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2100.00,22
2021-09-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$12000.00,14
2021-10-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$1382.00,12
2021-11-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2000.00,13
2022-01-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$139000.00,10
2022-04-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$624.00,9
2022-06-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$7500.00,8
2022-10-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$4900.00,6
2022-11-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$10000.00,16
2022-12-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$314.00,7
2023-02-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2664.00,9
2023-04-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$10000.00,4
2023-05-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$7000.00,11
2023-07-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$1000.00,11
2023-08-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$83184.00,14
2023-09-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$5000.00,4
2024-02-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$6022.72,12
2024-03-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$10752.88,15
2024-04-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$9345.60,12
2024-06-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$23950.00,10
2021-07-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$1890.00,31
2022-02-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$4890.00,11
2023-01-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$4000.00,8
2023-11-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$5025.00,15
2021-02-01,Australian Capital Territory,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$3000.00,4
2021-07-01,Australian Capital Territory,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$30000.00,9
2022-03-01,Tasmania,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$9152.00,3
2022-05-01,Australian Capital Territory,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$1800.00,2
2022-07-01,Australian Capital Territory,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$40000.00,2
2022-08-01,Australian Capital Territory,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$20000.00,5
