StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2023-03-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,10
2021-03-01,New South Wales,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,28
2021-01-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,12
2022-08-01,Australian Capital Territory,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,36
2022-06-01,Victoria,Text message,65 and over,Male,Investment scams,Investment scams,,1
2024-02-01,Australian Capital Territory,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,20
2022-12-01,Tasmania,Phone call,65 and over,Male,Buying or selling,False billing,,2
2023-09-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,123
2020-11-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,15
2023-11-01,Queensland,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,135
2023-01-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,55
2024-03-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,,59
2021-09-01,Victoria,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,102
2024-02-01,Western Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,53
2021-10-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,18
2023-12-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,,26
2022-09-01,New South Wales,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,74
2021-11-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,21
2020-10-01,Australian Capital Territory,Mail,65 and over,Female,Investment scams,Investment scams,,1
2023-04-01,Western Australia,Text message,65 and over,Female,Buying or selling,False billing,,13
